Country,Group,Name,URL,Status,HTTP_Code,Latency_ms
"UNKNOWN","Entertainment","16 Anni e Incinta","https://jmp2.uk/plu-60940a07d88ba90007b9cb71.m3u8","ONLINE","302","82"
"UNKNOWN","News","7 Info","https://video1.getstreamhosting.com:1936/8042/8042/playlist.m3u8","ONLINE","200","1315"
"UNKNOWN","Lifestyle;Relax","10 Bold Adelaide (1080p)","https://dce3793146fef017.mediapackage.us-west-2.amazonaws.com/out/v1/55cdf73af7894775ba6de8f57482b66a/CMAF_HLS/index.m3u8","ONLINE","200","991"
"UNKNOWN","News","13 Siam Thai (1080p)","https://live.x2.co.th/live/13livetv-th.m3u8","ONLINE","200","716"
"UNKNOWN","General","8 La Marina TV (576p)","https://streaming005.gestec-video.com/hls/canal24.m3u8","ONLINE","200","1186"
"UNKNOWN","General","11 Kanal (720p)","https://11tv-dp.cdn-04.cosmonova.net.ua/hls/11tv-dp_ua_hi/index.m3u8","OFFLINE","404","1191"
"UNKNOWN","General","12 канал (1080p)","https://12channel.bonus-tv.ru/cdn/12channel/playlist.m3u8","ONLINE","200","1228"
"UNKNOWN","General","12TV Alicante (720p)","https://cloud.fastchannel.es/mic/manifiest/hls/12tv/12tv.m3u8","ONLINE","200","1317"
"UNKNOWN","Entertainment","13 Entretención (720p)","https://origin.dpsgo.com/ssai/event/BBp0VeP6QtOOlH8nu3bWTg/master.m3u8","ONLINE","302","1353"
"UNKNOWN","Culture","13C (1080p)","https://origin.dpsgo.com/ssai/event/GI-9cp_bT8KcerLpZwkuhw/master.m3u8","ONLINE","302","1432"
"UNKNOWN","Undefined","21 Jump Street (720p)","https://d1oefjzrirx6fc.cloudfront.net/21_Jump_Street_SONO6.m3u8","ONLINE","200","501"
"UNKNOWN","Series","13 Teleseries (720p)","https://origin.dpsgo.com/ssai/event/f4TrySe8SoiGF8Lu3EIq1g/master.m3u8","ONLINE","302","1094"
"UNKNOWN","Religious","4E (1080p)","http://eu2.tv4e.gr:554/live/smil:myStream.sdp.smil/playlist.m3u8","ONLINE","200","2593"
"UNKNOWN","Music","15+ Music (1080p)","https://live.15plusmg.ru/memfs/ce3366b1-bf25-4e24-96bb-1adf0d44bd3d.m3u8","ONLINE","200","867"
"UNKNOWN","Kids","13 Kids (1080p)","https://origin.dpsgo.com/ssai/event/LhHrVtyeQkKZ-Ye_xEU75g/master.m3u8","ONLINE","302","1485"
"UNKNOWN","Music","13 Festival (1080p)","https://origin.dpsgo.com/ssai/event/Nftd0fM2SXasfDlRphvUsg/master.m3u8","ONLINE","302","1563"
"UNKNOWN","Entertainment","13 Realities (1080p)","https://origin.dpsgo.com/ssai/event/g7_JOM0ORki9SR5RKHe-Kw/master.m3u8","ONLINE","302","1647"
"UNKNOWN","Lifestyle","13 Prime (720p)","https://origin.dpsgo.com/ssai/event/p4mmBxEzSmKAxY1GusOHrw/master.m3u8","ONLINE","302","1653"
"UNKNOWN","Comedy","13 Humor (1080p)","https://origin.dpsgo.com/ssai/event/cKWySXKgSK-SzlJmESkOWw/master.m3u8","ONLINE","302","1732"
"UNKNOWN","Religious","15.1 BPB (720p)","https://v2.tustreaming.cl/enlacebpbtv/index.m3u8","ONLINE","200","1115"
"UNKNOWN","General","20 Minutes TV (1080p)","https://live-20minutestv.digiteka.com/1961167769/index.m3u8","ONLINE","200","1050"
"UNKNOWN","Music","9XM (1080p)","https://9xjio.wiseplayout.com/9XM/master.m3u8","ONLINE","200","2001"
"UNKNOWN","Undefined","21 Jump Street (1080p)","https://cb562753.wurl.com/master/f36d25e7e52f1ba8d7e56eb859c636563214f541/UmFrdXRlblRWLWV1XzIxSnVtcFN0cmVldF9ITFM/playlist.m3u8","ONLINE","200","1127"
"UNKNOWN","Entertainment","13 Ulica (1080p)","http://91.146.94.234:10001/play/a088","OFFLINE","-1","1706"
"UNKNOWN","Entertainment","20","http://91.146.94.234:10001/play/a08s","OFFLINE","-1","1706"
"UNKNOWN","General","16tv Budapest (360p)","https://cloudfront44.lexanetwork.com:1344/freerelay/16tv.sdp/playlist.m3u8","ONLINE","200","1777"
"UNKNOWN","General","1+1 Ukraina (1080p)","http://stream.mcquack.net/219/index.m3u8","TIMEOUT","","6000"
"UNKNOWN","General","2+2 (1080p)","http://stream.mcquack.net/173/index.m3u8","TIMEOUT","","6000"
"UNKNOWN","Kids","4Kids TV (576p)","http://tvsen5.aynascope.net/4KidsTV/index.m3u8","TIMEOUT","","6000"
"UNKNOWN","Sports","5Sport (1080p)","http://stream.mcquack.net/41/index.m3u8","TIMEOUT","","6000"
"UNKNOWN","General","6 sotok (1080p)","http://stream.mcquack.net/405/index.m3u8","TIMEOUT","","6000"
"UNKNOWN","Classic","13Rec (576p)","http://45.4.1.201:8000/play/a11i/index.m3u8","TIMEOUT","","6000"
"UNKNOWN","Entertainment","7/8 TV","http://213.91.179.28:8000/play/a0cn","ONLINE","200","472"
